Electricty Consumption,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,EC_2010,EC_2011,EC_2012,EC_2013,EC_2014,2015,2016
Dominica,Billion Kwh,0.01023,0.01116,0.01023,0.01674,0.02232,0.02232,0.02418,0.02511,0.02604,0.02697,0.02697,0.0279,0.0279,0.0279,0.03069,0.04092,0.03906,0.0465,0.05766,0.06603,0.06882,0.07254,0.06603,0.07068,0.07068,0.073656,0.075516,0.076539,0.077469,0.082677,0.088257,0.091047,0.090582,0.090582,0.091512,0.087792,0.103602
Dominican Republic,Billion Kwh,2.514,2.961,2.35,2.344,3.18,3.174,3.526,3.085,3.272,2.379,2.59,2.713,2.412,3.706,3.234,3.627,4.734,4.802,5.175,6.461,5.78666,8.49562,8.72988,9.19538,7.9525,10.5234,11.45994,11.99174,9.957,9.8715,12.01806,12.9124,13.76462,14.80472,14.34068,14.99754,15.64286
Ecuador,Billion Kwh,2.7,3.01,3.16,3.338,3.218,3.752,4.069,4.176,4.271,4.322,4.784,5.163,5.404,5.51,6.027,6.077,6.921,6.852,7.368,7.639,7.81482,8.04726,8.26422,8.609717,10.448442,10.47188,12.17881,13.8345,15.10904,15.68504,16.358,17.81724,19.02034,20.0151,21.07576,22.09054,22.68492
Egypt,Billion Kwh,15.861,17.749,18.224,20.13405,25.29105,25.32905,29.8871,31.1541,29.7351,32.0611,37.2011,38.1351,38.7831,42.7351,45.1791,47.1512,47.7252,51.7532,55.4512,60.2692,63.24366,67.91134,72.48158,78.49944,82.87128,89.45256,96.25424,104.76492,110.0542,117.09596,122.38424,133.8045,136.7944,134.22388,143.7681,153.06506,159.74554
El Salvador,Billion Kwh,1.433,1.477,1.541,1.396,1.591,1.517,1.566,1.646,1.69,1.745,1.664,1.61,1.729,2.028,2.422,2.801,2.894,3.134,3.244,3.441,4.062,3.927,3.803,4.01,4.0046,4.4624,4.91,5.299,5.267,5.266,5.16948,5.3287,5.5582,5.85514,5.74352,6.05444,5.9277
Equatorial Guinea,Billion Kwh,0.01581,0.01395,0.01302,0.01116,0.01395,0.01581,0.01488,0.01581,0.01581,0.01581,0.01581,0.01581,0.01674,0.01674,0.01674,0.01767,0.01767,0.0186,0.01953,0.01953,0.03906,0.05022,0.05673,0.07068,0.0744,0.07905,0.0837,0.08742,0.08742,0.08742,0.11718,0.25017,0.27435,0.3348,0.465,0.465,0.465
Eritrea,Billion Kwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131,0.138,0.157,0.1494,0.152962,0.163,0.15946,0.18008,0.20052,0.21644,0.21808,0.22478,0.21598,0.22784,0.2249,0.24242,0.25546,0.2689,0.28258,0.29692,0.31084,0.32376,0.35386
Estonia,Billion Kwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.726,5.91,5.577,5.904,6.212,6.055,5.699,5.87254,5.8305,6.14144,6.52174,6.78336,6.88836,7.32888,7.6933,7.88696,7.48082,7.9479,7.67936,8.2189,8.0643,8.19396,8.25692,8.79502
Ethiopia,Billion Kwh,0.597,0.641,0.676,0.707,0.769,0.813,0.869,1.089,1.159,1.205,1.079,1.09,1.097,1.297,1.288,1.3,1.376,1.434,1.469,1.463,1.48962,1.78896,1.81774,2.04204,2.25892,2.53128,2.9084,3.14828,3.33808,3.53176,3.94354,4.57858,5.44438,6.27662,6.87192,8.42086,9.06186
Falkland Islands (Islas Malvinas),Billion Kwh,0.00186,0.00279,0.00279,0.00279,0.00558,0.00744,0.00837,0.00837,0.01023,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.01023,0.01023,0.01023,0.01116,0.01116,0.013206,0.014136,0.014136,0.0141825,0.0141825,0.0141825,0.015159,0.015159,0.01674,0.01674,0.01488,0.01488,0.01581,0.01581,0.01581,0.01767,0.01767
Faroe Islands,Billion Kwh,0.14136,0.14601,0.14973,0.14973,0.15717,0.16926,0.1674,0.17112,0.19065,0.19158,0.18786,0.18042,0.17763,0.16128339,0.15680265,0.1558401,0.1623966,0.16337589,0.17060013,0.17929191,0.18973581,0.20569089,0.21457332,0.22179756,0.22241508,0.21925029,0.23236608,0.2412606,0.24631143,0.24600081,0.24937299,0.24552,0.2604,0.2604,0.27621,0.28551,0.28551
Fiji,Billion Kwh,0.2697,0.27621,0.28179,0.28923,0.35247,0.35991,0.38316,0.39339,0.38502,0.39618,0.44454,0.44919,0.44733,0.45663,0.49197,0.51429,0.51522,0.5208186,0.51710046,0.5579535,0.519033,0.571113,0.580413,0.603663,0.622263,0.655743,0.703173,0.738513,0.730143,0.734793,0.776829,0.745023,0.74865,0.79887,0.77934,0.82398,0.85002
Finland,Billion Kwh,37.613,38.975,39.369,42.455,45.822,48.989,49.895,53.466,48.353,57.115,64.984,64.899,60.878,63.494,66.486,65.302,67.3142,70.64958,73.817,75.1,76.2067,78.16886,80.51898,81.70888,83.97366,81.83886,87.1887,87.4772,83.8853,78.52144,85.07158,81.81046,82.43846,81.73642,80.8735,80.30636,82.78818
Former Czechoslovakia,Billion Kwh,68.54,66.088,66.863,68.842,70.998,74.267,76.271,77.873,78.902,80.44,81.79,77.939,72.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Serbia and Montenegro,Billion Kwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.613,26.971,27.447,30.097,32.376,32.326,29.432,27.454,30.205,29.998,30.692,30.285,29.784,27.254,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former U.S.S.R.,Billion Kwh,1168.604644,1123.888392,1234.063245,1278.406743,1342.196622,1382.509714,1343.502799,1395.350431,1432.730352,1464.423789,1460.94541,1446.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Former Yugoslavia,Billion Kwh,51.044,55.186,56.142,58.914,62.905,65.188,67.85,70.201,72.24,71.174,70.579,64.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,Billion Kwh,236.442,239.299,242.635,247.079,260.163,277.937,292.67,301.429,309.385,316.531,323.111,345.453,355.2228,356.142,363.617,367.8995,382.706,381.795,393.428,401.286,409.83866,420.5107,418.25338,435.4882,447.00428,452.11806,447.83318,450.00918,462.7735,446.84636,473.97824,443.0122,454.45818,456.7202,434.32606,442.7849,450.83274
